label,anatomy,,,isomap_theta,,,isomap_theta_dist,,,Q
1.00,-40.29,-84.75,1.10,-8.09,8.28,-0.74,1.28,-1.08,-0.25,3.00
2.00,-50.15,-60.33,22.80,15.59,8.80,3.20,-2.16,-1.07,0.01,2.00
3.00,13.13,-64.03,23.86,3.40,10.32,-1.71,-1.12,-1.15,0.38,3.00
4.00,-37.42,-13.33,-2.92,-3.88,-9.19,-3.38,1.18,0.84,0.36,1.00
5.00,-6.92,46.11,7.10,10.12,2.32,-3.08,-2.48,-0.18,-0.18,2.00
6.00,8.64,-35.93,46.93,-7.94,-4.87,0.01,0.97,0.61,0.09,1.00
7.00,55.03,-47.23,40.93,3.94,-1.09,7.60,-0.97,1.31,-0.62,2.00
8.00,-40.91,-20.48,53.66,-11.91,-2.30,0.65,1.81,0.28,-0.04,1.00
9.00,-58.61,-29.58,-3.23,2.04,-1.32,-6.35,-0.11,-0.08,1.24,2.00
10.00,27.14,59.37,-2.11,9.88,0.47,4.60,-1.99,0.67,-0.23,2.00
11.00,2.60,12.60,48.94,-3.85,-8.37,4.43,0.76,1.21,-0.10,1.00
12.00,52.81,-54.83,23.02,9.76,7.85,-0.02,-1.80,-0.92,-0.31,2.00
13.00,13.06,13.11,-7.11,8.06,-5.73,-3.74,-1.21,0.28,0.43,2.00
14.00,-49.28,-65.06,-5.10,-10.50,5.89,2.93,1.29,-0.56,-0.45,3.00
15.00,45.70,9.54,31.31,-2.31,-3.48,9.44,0.34,0.90,-0.89,1.00
16.00,11.25,-19.86,8.52,4.88,-9.47,-0.79,-0.26,0.50,0.61,2.00
17.00,-10.02,-66.50,22.09,4.10,10.44,-3.82,-1.37,-1.14,0.52,3.00
18.00,-33.71,19.96,2.02,-0.94,-10.84,1.65,0.30,1.23,-0.10,1.00
19.00,-9.30,-37.78,68.48,-9.80,-0.27,-0.83,1.27,0.05,0.50,1.00
20.00,6.79,43.31,5.33,10.89,-1.94,-5.67,-2.14,0.38,0.05,2.00
21.00,-42.29,42.02,13.08,1.98,-9.86,5.37,-0.38,1.35,-0.40,1.00
22.00,-59.11,-26.68,15.62,-6.92,-7.86,-3.26,1.83,0.36,0.06,1.00
23.00,44.33,41.41,14.82,4.72,-8.07,7.22,-0.46,0.98,-0.73,1.00
24.00,43.05,-73.44,-11.09,-7.82,11.04,-1.00,1.24,-1.32,-0.36,3.00
25.00,-30.67,-4.67,-32.67,-0.43,1.38,-9.12,0.44,0.09,1.21,2.00
26.00,29.39,-32.98,62.78,-11.71,-2.54,0.03,1.65,0.27,0.02,1.00
27.00,0.65,-16.29,34.47,10.68,-4.71,-3.21,-1.30,0.14,0.31,2.00
28.00,29.14,-54.33,59.16,-9.07,0.16,8.19,1.53,-0.44,-0.61,3.00
29.00,42.95,10.28,-37.05,3.15,3.77,-6.46,-0.31,-0.24,1.09,2.00
30.00,-57.40,-43.13,26.02,-2.67,-10.75,1.01,0.91,0.86,0.28,1.00
31.00,-45.66,8.55,31.40,2.69,-3.32,10.86,-0.38,0.30,-0.94,2.00
32.00,40.40,-4.66,10.37,-8.35,-6.43,-2.76,1.71,0.42,0.12,1.00
33.00,-13.79,-31.72,0.41,0.59,7.06,-7.76,-0.19,-0.36,0.78,3.00
34.00,42.04,24.37,37.39,11.42,-2.16,7.60,-2.12,0.69,-0.43,2.00
35.00,62.02,-41.89,-8.48,3.95,0.05,-4.05,-0.78,0.72,0.26,2.00
36.00,1.72,33.66,23.94,9.22,-5.79,0.07,-1.58,0.38,0.13,2.00
37.00,-28.78,50.44,-12.98,10.44,-5.81,1.22,-1.50,0.79,-0.09,2.00
38.00,13.27,-94.02,1.76,-5.27,12.25,-0.72,0.25,-1.36,-0.02,3.00
39.00,-8.71,-17.67,9.86,4.77,-9.34,-1.25,-0.84,0.61,0.34,2.00
