label,anatomy,,,isomap_theta,,,isomap_theta_dist,,,Q
1.00,-40.29,-84.75,1.10,10.91,7.10,-1.08,1.53,1.18,0.42,4.00
2.00,-50.15,-60.33,22.80,-11.23,9.77,1.11,-2.06,1.16,0.21,2.00
3.00,13.13,-64.03,23.86,0.54,11.86,3.16,-0.72,1.59,-0.41,2.00
4.00,-37.42,-13.33,-2.92,2.41,-11.30,4.02,1.33,-0.98,-0.16,3.00
5.00,-6.92,46.11,7.10,-11.71,3.46,3.02,-2.50,0.84,0.33,2.00
6.00,8.64,-35.93,46.93,4.84,-7.97,-1.13,1.21,-0.63,-0.08,3.00
7.00,55.03,-47.23,40.93,-7.83,-5.62,-8.40,-1.17,-0.67,0.98,1.00
8.00,-40.91,-20.48,53.66,8.96,-4.87,0.09,1.49,0.22,-0.39,3.00
9.00,-58.61,-29.58,-3.23,-1.46,1.35,9.39,-0.65,0.18,-0.98,2.00
10.00,27.14,59.37,-2.11,-10.07,3.76,-7.21,-2.08,-0.41,0.32,1.00
11.00,2.60,12.60,48.94,0.67,-10.57,-3.12,0.45,-1.33,0.83,1.00
12.00,52.81,-54.83,23.02,-6.18,12.50,1.59,-1.70,1.27,-0.44,2.00
13.00,13.06,13.11,-7.11,-6.80,-4.61,4.08,-0.66,-0.66,-0.84,1.00
14.00,-49.28,-65.06,-5.10,11.06,-3.14,-5.66,1.31,0.44,0.22,4.00
15.00,45.70,9.54,31.31,-1.25,-7.85,-7.00,0.43,-1.14,0.69,1.00
16.00,11.25,-19.86,8.52,-3.67,-5.53,1.49,-0.84,-1.17,-0.79,1.00
17.00,-10.02,-66.50,22.09,-1.66,11.53,5.88,-1.08,1.55,-0.56,2.00
18.00,-33.71,19.96,2.02,-2.77,-11.51,-0.86,0.47,-1.47,0.30,1.00
19.00,-9.30,-37.78,68.48,9.58,-2.20,0.71,1.27,0.47,-0.40,3.00
20.00,6.79,43.31,5.33,-11.51,0.01,1.20,-2.46,0.96,0.41,2.00
21.00,-42.29,42.02,13.08,-4.31,-8.43,-2.88,0.10,-1.02,1.10,1.00
22.00,-59.11,-26.68,15.62,5.23,-8.54,4.98,1.51,-0.70,0.06,3.00
23.00,44.33,41.41,14.82,-2.04,-5.87,-5.42,-0.16,-0.91,0.94,1.00
24.00,43.05,-73.44,-11.09,12.37,8.50,-2.99,1.61,1.18,0.45,4.00
25.00,-30.67,-4.67,-32.67,3.27,2.42,8.70,0.18,0.13,-1.07,2.00
26.00,29.39,-32.98,62.78,9.88,-3.63,-0.32,1.65,0.10,-0.33,3.00
27.00,0.65,-16.29,34.47,-10.84,-4.74,5.04,-1.08,-1.30,-0.29,2.00
28.00,29.14,-54.33,59.16,10.52,1.32,-5.30,1.42,0.37,0.50,4.00
29.00,42.95,10.28,-37.05,-2.53,3.76,6.17,-0.34,0.78,-0.98,2.00
30.00,-57.40,-43.13,26.02,0.42,-10.86,-0.43,0.59,-1.36,0.08,3.00
31.00,-45.66,8.55,31.40,-3.03,-5.88,-8.33,-0.44,-1.00,1.02,1.00
32.00,40.40,-4.66,10.37,4.84,-8.30,2.80,1.28,-0.79,-0.27,3.00
33.00,-13.79,-31.72,0.41,-1.14,4.45,7.45,-0.23,0.48,-0.98,2.00
34.00,42.04,24.37,37.39,-8.77,4.21,-10.71,-2.22,-0.37,0.63,1.00
35.00,62.02,-41.89,-8.48,-5.69,-0.70,2.67,-0.56,-0.69,-0.92,2.00
36.00,1.72,33.66,23.94,-11.53,-4.82,0.11,-1.46,-1.11,-0.12,1.00
37.00,-28.78,50.44,-12.98,-10.10,2.96,-6.45,-1.15,-0.81,0.32,1.00
38.00,13.27,-94.02,1.76,8.25,11.31,0.44,0.55,1.29,0.01,4.00
39.00,-8.71,-17.67,9.86,-9.06,-5.78,3.58,-0.99,-0.98,-0.78,1.00
40.00,1.66,-38.17,31.70,-10.29,6.62,-0.20,-2.09,1.02,0.26,2.00
41.00,-14.57,13.22,-3.47,-7.99,-5.70,1.62,-1.09,-1.13,-0.33,1.00
42.00,18.36,-33.89,-2.19,3.80,7.78,6.54,0.09,1.15,-0.76,2.00
43.00,61.26,-20.23,-16.23,-7.72,2.86,5.32,-1.11,1.09,-0.93,2.00
44.00,-28.71,-6.18,57.29,6.41,-7.05,-3.84,1.10,-0.63,0.49,3.00
45.00,44.42,30.37,-10.37,-8.83,-3.74,1.49,-0.85,-1.39,0.01,1.00
46.00,-6.10,-86.69,24.56,8.15,9.19,-1.45,1.04,1.55,0.42,4.00
47.00,0.51,17.03,32.16,1.73,-11.41,-1.45,0.31,-1.29,0.81,1.00
48.00,-52.29,-50.05,41.71,-5.76,-0.37,-10.21,-1.28,-0.90,0.94,1.00
49.00,-28.44,32.00,-15.56,-11.13,-4.98,3.76,-0.55,-0.84,-0.74,1.00
50.00,1.20,-52.23,14.72,-4.73,11.17,2.27,-1.48,1.71,0.52,2.00
51.00,36.07,18.09,3.12,0.09,-10.07,-2.84,0.61,-1.37,0.43,1.00
52.00,42.73,-19.48,53.20,8.88,-4.60,1.13,1.53,0.21,-0.25,3.00
53.00,-39.36,21.01,41.71,-10.34,7.71,-6.83,-2.33,0.04,0.67,1.00
54.00,33.29,-30.79,-16.75,-1.18,7.75,6.58,-0.66,1.11,-0.79,2.00
55.00,-43.92,-52.08,-19.28,10.86,4.71,-4.98,0.84,1.01,-0.12,4.00
56.00,28.25,-0.34,56.21,7.09,-7.47,-2.40,1.41,-0.53,0.60,3.00
57.00,12.34,-44.19,67.43,10.67,-2.32,-1.05,1.55,0.19,-0.34,3.00
58.00,61.12,-16.75,11.97,6.99,-7.41,4.74,1.58,-0.63,-0.30,3.00
59.00,-28.08,1.33,3.11,-1.82,-12.22,2.30,0.45,-1.63,0.43,3.00
60.00,59.31,-43.62,10.28,4.99,-5.06,9.43,0.91,-0.02,-0.85,3.00
61.00,-11.79,-70.02,5.81,8.07,7.55,2.30,0.73,1.48,0.48,4.00
62.00,29.21,25.03,-15.45,-7.19,-4.36,3.83,-1.01,-0.90,-0.49,1.00
63.00,-57.15,-14.60,-16.00,-3.04,4.91,8.11,-0.93,0.60,-1.04,2.00
64.00,-43.32,1.48,47.52,-8.20,1.12,-7.03,-1.08,-1.14,-0.54,1.00
65.00,-44.77,33.40,-8.63,-10.66,-2.32,-3.08,-1.29,-1.05,-0.22,1.00
66.00,31.04,55.25,14.24,-9.77,-7.78,-5.07,-0.66,-1.02,0.27,1.00
67.00,-8.43,-32.98,45.06,2.65,-6.79,-0.80,0.94,-0.73,-0.07,3.00
68.00,-41.50,13.56,-28.19,-3.00,1.67,6.95,-0.58,0.03,-1.01,2.00
69.00,0.16,0.33,41.51,4.17,-9.93,2.31,1.39,-1.09,0.06,3.00
70.00,13.42,-77.19,38.55,6.87,7.69,-5.64,0.40,1.12,0.85,4.00
71.00,-43.02,-66.47,39.74,-12.17,11.40,-1.63,-2.59,0.95,0.34,2.00
72.00,46.80,7.96,-10.09,1.22,-11.65,1.53,0.82,-1.22,0.08,3.00
73.00,-13.09,6.00,13.55,-11.88,-4.98,-0.73,-1.41,-1.03,-0.26,1.00
74.00,46.34,-72.94,15.42,8.67,6.16,-1.28,0.78,1.39,0.38,4.00
75.00,37.05,-12.25,-26.46,-0.61,5.94,7.24,-0.28,0.97,-1.12,2.00
76.00,-58.51,-7.82,25.49,6.70,-4.84,3.86,1.39,-0.24,-0.54,3.00
77.00,7.83,-73.81,5.75,8.48,8.04,-0.59,0.83,1.43,0.55,4.00
78.00,-17.50,-15.59,69.64,7.38,-5.71,-1.63,1.31,-0.36,-0.26,3.00
79.00,0.15,52.25,25.87,-10.06,9.09,1.18,-2.44,0.79,0.29,2.00
80.00,-19.22,-6.49,-16.29,-2.48,-3.13,9.04,-0.29,-0.36,-0.96,2.00
