label,anatomy,,,isomap_theta,,,isomap_theta_dist,,,Q
1.00,-40.29,-84.75,1.10,10.10,7.49,1.29,-1.18,-1.33,0.17,3.00
2.00,-50.15,-60.33,22.80,-7.77,9.96,0.30,2.05,-0.48,-0.35,2.00
3.00,13.13,-64.03,23.86,-1.33,10.84,-1.94,1.31,-1.13,-0.48,3.00
4.00,-37.42,-13.33,-2.92,2.26,-7.87,-3.89,-1.09,0.87,-0.05,1.00
5.00,-6.92,46.11,7.10,-10.55,2.32,-5.12,2.59,-0.52,-0.09,2.00
6.00,8.64,-35.93,46.93,5.12,-3.77,0.20,-1.36,0.55,-0.11,1.00
7.00,55.03,-47.23,40.93,-11.08,-9.47,4.35,0.94,1.08,0.89,2.00
8.00,-40.91,-20.48,53.66,6.57,-2.31,-1.82,-1.59,-0.05,-0.35,1.00
9.00,-58.61,-29.58,-3.23,-4.86,4.21,-4.31,0.87,-0.18,-0.98,2.00
10.00,27.14,59.37,-2.11,-13.09,-3.57,7.29,1.78,-0.38,1.23,2.00
11.00,2.60,12.60,48.94,0.36,-9.70,-0.49,-0.84,1.03,0.66,1.00
12.00,52.81,-54.83,23.02,-7.46,10.17,-2.06,2.01,-0.92,0.44,2.00
13.00,13.06,13.11,-7.11,-8.76,-1.09,-4.04,0.68,0.71,-0.68,2.00
14.00,-49.28,-65.06,-5.10,9.99,-4.30,3.80,-1.77,-0.51,0.38,3.00
15.00,45.70,9.54,31.31,1.56,-8.92,5.40,-0.93,0.85,0.92,1.00
16.00,11.25,-19.86,8.52,-2.58,-1.94,-2.03,0.01,0.99,-0.54,2.00
17.00,-10.02,-66.50,22.09,-0.35,10.89,1.38,1.22,-1.21,-0.31,3.00
18.00,-33.71,19.96,2.02,-1.88,-8.70,-2.33,-0.52,1.23,0.10,1.00
19.00,-9.30,-37.78,68.48,4.18,-0.49,-2.31,-0.81,-0.21,-0.71,1.00
20.00,6.79,43.31,5.33,-11.48,2.84,-3.80,2.46,-0.56,-0.43,2.00
21.00,-42.29,42.02,13.08,-2.38,-10.70,3.32,-0.11,1.22,0.93,1.00
22.00,-59.11,-26.68,15.62,4.73,-7.13,-3.49,-1.33,0.67,-0.23,1.00
23.00,44.33,41.41,14.82,-4.80,-11.66,4.99,0.09,1.09,1.23,1.00
24.00,43.05,-73.44,-11.09,13.13,4.38,1.57,-1.24,-1.24,0.25,3.00
25.00,-30.67,-4.67,-32.67,3.33,2.83,-4.07,-0.36,0.39,-0.98,2.00
26.00,29.39,-32.98,62.78,8.32,-2.75,-3.46,-1.41,-0.11,-0.40,1.00
27.00,0.65,-16.29,34.47,-10.50,-2.11,-2.55,1.48,0.71,-0.28,2.00
28.00,29.14,-54.33,59.16,8.72,-2.36,5.35,-1.84,-0.38,0.52,3.00
29.00,42.95,10.28,-37.05,-1.15,4.22,-4.79,0.50,0.06,-0.75,2.00
30.00,-57.40,-43.13,26.02,0.39,-6.37,-3.25,-0.45,1.19,0.02,1.00
31.00,-45.66,8.55,31.40,0.80,-8.80,6.15,-0.23,1.06,0.83,2.00
32.00,40.40,-4.66,10.37,5.14,-7.33,-3.02,-1.26,0.68,-0.22,1.00
33.00,-13.79,-31.72,0.41,1.59,2.17,-1.86,-0.09,-0.27,-0.85,3.00
34.00,42.04,24.37,37.39,-12.12,-0.55,9.13,1.71,-0.21,1.14,2.00
35.00,62.02,-41.89,-8.48,-5.74,4.59,-4.09,0.83,0.64,-0.33,2.00
36.00,1.72,33.66,23.94,-11.54,-5.33,-1.20,1.42,1.07,-0.00,2.00
37.00,-28.78,50.44,-12.98,-10.14,-4.34,3.52,1.00,0.64,0.41,2.00
38.00,13.27,-94.02,1.76,9.71,9.09,2.59,-0.73,-1.48,0.23,3.00
39.00,-8.71,-17.67,9.86,-1.70,0.43,-4.44,0.61,1.09,-0.36,2.00
40.00,1.66,-38.17,31.70,-6.23,11.38,4.75,2.39,-0.87,0.14,2.00
41.00,-14.57,13.22,-3.47,-5.30,-2.87,-3.55,0.77,1.06,-0.49,2.00
42.00,18.36,-33.89,-2.19,2.42,6.23,-4.68,-0.00,-1.15,-0.83,3.00
43.00,61.26,-20.23,-16.23,-6.55,7.67,-3.63,1.58,-0.41,-0.42,2.00
44.00,-28.71,-6.18,57.29,6.21,-5.62,1.61,-1.65,0.47,0.41,1.00
45.00,44.42,30.37,-10.37,-9.07,-3.60,-2.65,1.40,0.95,-0.49,2.00
46.00,-6.10,-86.69,24.56,10.57,7.33,4.90,-1.25,-1.21,0.21,3.00
47.00,0.51,17.03,32.16,2.06,-7.81,-0.36,-1.02,1.07,0.34,1.00
48.00,-52.29,-50.05,41.71,-10.86,-2.38,9.00,1.43,0.64,0.88,2.00
49.00,-28.44,32.00,-15.56,-7.60,-1.40,-4.17,0.87,0.53,-0.63,2.00
50.00,1.20,-52.23,14.72,-4.88,11.88,-0.95,2.33,-1.14,0.24,2.00
51.00,36.07,18.09,3.12,0.01,-9.56,-3.04,-1.07,0.98,0.07,1.00
52.00,42.73,-19.48,53.20,6.51,-2.22,-1.83,-1.55,-0.06,-0.36,1.00
53.00,-39.36,21.01,41.71,-11.23,6.42,7.00,2.48,0.14,0.87,2.00
54.00,33.29,-30.79,-16.75,0.59,10.06,-2.23,0.39,-1.30,-0.61,3.00
55.00,-43.92,-52.08,-19.28,10.69,2.03,5.07,-1.24,-0.96,-0.13,3.00
56.00,28.25,-0.34,56.21,5.95,-4.58,3.72,-1.69,0.21,0.59,1.00
57.00,12.34,-44.19,67.43,7.25,-1.69,1.65,-1.64,0.01,-0.22,1.00
58.00,61.12,-16.75,11.97,5.25,-6.86,-3.96,-1.35,0.52,-0.29,1.00
59.00,-28.08,1.33,3.11,1.04,-6.66,-2.46,-0.78,1.06,-0.36,1.00
60.00,59.31,-43.62,10.28,2.55,-2.30,-5.80,-0.95,0.48,-0.63,1.00
61.00,-11.79,-70.02,5.81,7.85,6.66,-0.33,-0.64,-1.33,-0.48,3.00
62.00,29.21,25.03,-15.45,-10.07,-0.12,-4.81,1.38,0.69,-0.43,2.00
63.00,-57.15,-14.60,-16.00,-4.14,8.00,-5.21,0.98,-0.53,-0.94,2.00
64.00,-43.32,1.48,47.52,-3.40,-8.41,5.14,0.19,1.07,0.46,2.00
65.00,-44.77,33.40,-8.63,-11.03,-3.14,-2.78,1.46,0.93,-0.27,2.00
66.00,31.04,55.25,14.24,-9.58,-4.02,2.86,1.21,0.46,0.52,2.00
67.00,-8.43,-32.98,45.06,4.50,-4.00,-1.66,-0.95,0.52,-0.58,1.00
68.00,-41.50,13.56,-28.19,-3.48,4.37,-6.56,0.70,0.15,-0.90,2.00
69.00,0.16,0.33,41.51,4.31,-6.64,-1.45,-1.56,0.65,-0.02,1.00
70.00,13.42,-77.19,38.55,9.01,4.55,9.20,-0.26,-1.44,0.81,3.00
71.00,-43.02,-66.47,39.74,-10.03,9.09,6.90,2.81,-0.65,0.68,2.00
72.00,46.80,7.96,-10.09,0.07,-5.76,-5.13,-0.92,0.72,-0.36,1.00
73.00,-13.09,6.00,13.55,-8.99,-3.11,-0.63,1.33,0.72,-0.20,2.00
74.00,46.34,-72.94,15.42,9.92,5.90,2.33,-0.91,-1.23,0.17,3.00
75.00,37.05,-12.25,-26.46,-0.92,5.55,-4.99,0.50,-0.54,-0.94,2.00
76.00,-58.51,-7.82,25.49,6.94,-3.85,-4.46,-1.44,0.28,-0.40,1.00
77.00,7.83,-73.81,5.75,6.59,8.40,2.62,-1.02,-1.25,-0.22,3.00
78.00,-17.50,-15.59,69.64,5.19,-3.58,-0.24,-1.32,0.10,-0.49,1.00
79.00,0.15,52.25,25.87,-10.71,7.15,-1.74,2.62,-0.72,-0.12,2.00
80.00,-19.22,-6.49,-16.29,-0.31,2.02,-6.87,0.20,0.53,-0.85,2.00
81.00,40.19,-42.52,48.35,7.58,-4.81,6.32,-1.60,0.49,0.92,1.00
82.00,13.09,-0.61,16.61,-7.29,-2.79,-0.39,1.05,0.87,-0.33,2.00
83.00,-26.76,12.19,55.61,-13.23,-0.53,9.70,1.14,-0.28,1.02,2.00
84.00,-29.73,-35.68,61.86,8.52,-2.79,-0.32,-1.62,-0.11,-0.37,1.00
85.00,-34.08,-80.96,25.65,8.49,5.71,2.65,-0.26,-1.48,0.71,3.00
86.00,59.33,-0.86,25.57,7.99,-5.46,-0.94,-1.54,0.24,0.05,1.00
87.00,-58.57,-48.33,-8.62,-10.44,-3.54,3.36,0.93,0.96,-0.06,2.00
88.00,47.44,-52.32,-17.09,13.08,0.86,2.70,-1.40,-0.93,0.36,3.00
