label,anatomy,,,isomap_theta,,,isomap_theta_dist,,,Q
1.00,-40.29,-84.75,1.10,-11.16,-4.02,-3.41,-1.43,-0.98,0.67,2.00
2.00,-50.15,-60.33,22.80,9.33,-8.75,-0.80,2.38,-0.21,-0.22,3.00
3.00,13.13,-64.03,23.86,-0.81,-12.24,2.75,1.44,-1.46,-0.46,2.00
4.00,-37.42,-13.33,-2.92,-1.00,7.25,4.78,-1.29,0.76,-0.26,1.00
5.00,-6.92,46.11,7.10,10.40,-4.92,5.50,2.56,-0.26,-0.43,3.00
6.00,8.64,-35.93,46.93,-3.81,4.93,0.66,-1.33,0.25,-0.28,1.00
7.00,55.03,-47.23,40.93,10.75,4.58,-8.48,1.39,0.64,0.80,3.00
8.00,-40.91,-20.48,53.66,-7.14,1.62,3.53,-1.46,0.04,-0.50,1.00
9.00,-58.61,-29.58,-3.23,6.49,-2.98,5.84,1.26,0.85,-0.43,3.00
10.00,27.14,59.37,-2.11,12.94,0.08,-7.65,2.01,-0.01,0.99,3.00
11.00,2.60,12.60,48.94,-0.69,11.39,-0.05,-0.65,1.31,0.54,1.00
12.00,52.81,-54.83,23.02,9.08,-6.41,1.20,1.86,-0.57,-0.58,3.00
13.00,13.06,13.11,-7.11,6.71,3.45,3.30,0.80,0.60,-0.69,3.00
14.00,-49.28,-65.06,-5.10,-9.59,-0.53,-6.29,-1.60,-0.11,0.83,2.00
15.00,45.70,9.54,31.31,-1.69,5.99,-7.74,-0.41,0.72,1.00,1.00
16.00,11.25,-19.86,8.52,2.57,3.83,2.36,0.62,0.96,-0.58,3.00
17.00,-10.02,-66.50,22.09,3.00,-13.49,2.53,1.35,-1.48,-0.62,2.00
18.00,-33.71,19.96,2.02,1.68,8.64,0.80,-0.96,1.27,0.01,1.00
19.00,-9.30,-37.78,68.48,-4.88,-0.05,4.11,-0.53,-0.08,-1.00,1.00
20.00,6.79,43.31,5.33,11.11,-1.68,5.50,2.73,-0.73,-0.24,3.00
21.00,-42.29,42.02,13.08,3.32,10.04,-3.59,-0.32,1.56,0.74,3.00
22.00,-59.11,-26.68,15.62,-4.05,8.71,2.27,-1.51,0.64,0.01,1.00
23.00,44.33,41.41,14.82,1.70,9.36,-4.42,-0.05,1.23,0.90,3.00
24.00,43.05,-73.44,-11.09,-12.55,-4.40,-1.67,-1.47,-1.17,0.48,2.00
25.00,-30.67,-4.67,-32.67,-0.39,0.86,8.67,-0.13,0.14,-1.46,1.00
26.00,29.39,-32.98,62.78,-6.84,1.37,3.62,-1.45,-0.08,-0.58,1.00
27.00,0.65,-16.29,34.47,12.06,2.68,3.40,1.63,0.43,-0.26,3.00
28.00,29.14,-54.33,59.16,-9.61,1.34,-6.04,-1.89,-0.67,0.61,2.00
29.00,42.95,10.28,-37.05,3.34,-3.09,5.40,0.82,-0.02,-0.76,3.00
30.00,-57.40,-43.13,26.02,-0.35,6.79,1.64,-0.71,0.87,-0.60,1.00
31.00,-45.66,8.55,31.40,-0.29,3.39,-9.68,0.55,0.99,0.98,3.00
32.00,40.40,-4.66,10.37,-4.25,7.69,2.49,-1.53,0.59,-0.14,1.00
33.00,-13.79,-31.72,0.41,1.29,-1.76,5.87,0.25,-0.07,-1.03,2.00
34.00,42.04,24.37,37.39,9.90,-1.86,-9.91,1.87,-0.73,1.02,3.00
35.00,62.02,-41.89,-8.48,8.11,-1.32,2.56,1.04,0.55,-0.14,3.00
36.00,1.72,33.66,23.94,12.67,5.33,-0.60,1.70,0.96,0.43,3.00
37.00,-28.78,50.44,-12.98,10.70,1.63,-5.85,1.33,0.31,0.87,3.00
38.00,13.27,-94.02,1.76,-12.02,-7.19,-1.06,-1.14,-1.32,0.31,2.00
39.00,-8.71,-17.67,9.86,9.17,4.65,2.82,0.96,0.86,0.16,3.00
40.00,1.66,-38.17,31.70,6.21,-13.48,-2.09,2.13,-0.96,-0.27,3.00
41.00,-14.57,13.22,-3.47,5.53,6.35,1.93,0.56,1.36,-0.46,3.00
42.00,18.36,-33.89,-2.19,-2.98,-6.40,6.09,0.33,-0.58,-0.85,2.00
43.00,61.26,-20.23,-16.23,7.02,-4.44,5.03,2.01,-0.00,-0.48,3.00
44.00,-28.71,-6.18,57.29,-7.79,4.77,-1.38,-1.18,0.41,0.60,1.00
45.00,44.42,30.37,-10.37,10.17,4.35,0.56,1.59,1.12,0.45,3.00
46.00,-6.10,-86.69,24.56,-11.90,-7.45,-2.70,-1.55,-1.16,0.38,2.00
47.00,0.51,17.03,32.16,-0.62,8.60,-0.85,-0.96,1.30,-0.04,1.00
48.00,-52.29,-50.05,41.71,9.33,1.65,-9.89,1.49,0.37,0.94,3.00
49.00,-28.44,32.00,-15.56,11.45,3.52,-0.68,1.11,0.85,0.05,3.00
50.00,1.20,-52.23,14.72,5.77,-11.83,3.99,2.20,-1.17,-0.36,3.00
51.00,36.07,18.09,3.12,-0.83,11.59,1.27,-1.01,1.37,0.23,1.00
52.00,42.73,-19.48,53.20,-7.09,1.37,3.57,-1.62,-0.05,-0.47,1.00
53.00,-39.36,21.01,41.71,10.60,-4.33,-6.98,2.51,-0.72,0.88,3.00
54.00,33.29,-30.79,-16.75,0.66,-8.34,4.85,0.56,-1.16,-0.55,2.00
55.00,-43.92,-52.08,-19.28,-11.43,-2.72,-3.55,-1.61,-0.67,-0.06,2.00
56.00,28.25,-0.34,56.21,-6.43,3.81,-5.51,-1.62,0.46,0.71,1.00
