label,anatomy,,,isomap_theta,,,isomap_theta_dist,,,Q
1.00,-40.29,-84.75,1.10,-8.72,-5.82,-1.40,1.51,1.00,-0.09,1.00
2.00,-50.15,-60.33,22.80,10.84,-4.98,5.73,-2.03,0.63,0.46,3.00
3.00,13.13,-64.03,23.86,1.78,-10.66,3.34,-1.24,1.76,0.20,3.00
4.00,-37.42,-13.33,-2.92,-3.85,5.68,5.79,0.72,-0.86,0.16,2.00
5.00,-6.92,46.11,7.10,12.14,-3.66,4.24,-2.47,0.42,0.07,3.00
6.00,8.64,-35.93,46.93,-7.26,2.86,0.08,1.60,-0.37,0.10,2.00
7.00,55.03,-47.23,40.93,8.94,8.89,-7.87,-0.94,-1.00,-0.99,3.00
8.00,-40.91,-20.48,53.66,-6.85,1.86,2.93,1.30,-0.15,0.55,1.00
9.00,-58.61,-29.58,-3.23,6.21,1.29,3.61,-1.21,-0.31,0.73,3.00
10.00,27.14,59.37,-2.11,11.91,-3.59,-10.05,-1.81,-0.15,-0.62,3.00
11.00,2.60,12.60,48.94,-6.11,10.65,-1.91,0.89,-1.04,-0.37,2.00
12.00,52.81,-54.83,23.02,8.66,-11.01,1.95,-1.73,0.70,-0.07,3.00
13.00,13.06,13.11,-7.11,10.16,4.11,2.59,-0.55,-0.42,0.61,3.00
14.00,-49.28,-65.06,-5.10,-9.45,0.51,-2.99,1.75,0.42,-0.43,1.00
15.00,45.70,9.54,31.31,-1.25,6.02,-8.02,0.99,-0.74,-1.07,1.00
16.00,11.25,-19.86,8.52,-0.64,2.56,0.94,0.40,-0.91,0.34,3.00
17.00,-10.02,-66.50,22.09,5.18,-10.04,4.99,-1.63,1.53,0.07,3.00
18.00,-33.71,19.96,2.02,-5.56,10.23,0.61,0.90,-1.19,-0.03,2.00
19.00,-9.30,-37.78,68.48,-4.67,-0.46,2.62,1.02,-0.05,0.79,1.00
20.00,6.79,43.31,5.33,12.13,-2.20,3.43,-2.08,0.57,0.50,3.00
21.00,-42.29,42.02,13.08,-3.49,7.82,-8.65,-0.08,-1.05,-1.14,2.00
22.00,-59.11,-26.68,15.62,-5.69,6.59,5.70,1.11,-0.74,0.13,2.00
23.00,44.33,41.41,14.82,-0.74,6.05,-11.42,-0.00,-0.79,-1.09,2.00
24.00,43.05,-73.44,-11.09,-11.12,-9.22,-2.62,1.08,1.35,-0.03,1.00
25.00,-30.67,-4.67,-32.67,-2.76,-2.55,5.86,0.36,-0.40,1.12,3.00
26.00,29.39,-32.98,62.78,-7.04,2.20,3.30,1.39,-0.30,0.52,1.00
