label,anatomy,,,Q,PACE
1.00,-40.29,-84.75,1.10,3.00,1.00
2.00,-50.15,-60.33,22.80,2.00,10.00
3.00,13.13,-64.03,23.86,2.00,9.00
4.00,-37.42,-13.33,-2.92,1.00,5.00
5.00,-6.92,46.11,7.10,2.00,10.00
6.00,8.64,-35.93,46.93,1.00,8.00
7.00,55.03,-47.23,40.93,4.00,13.00
8.00,-40.91,-20.48,53.66,1.00,7.00
9.00,-58.61,-29.58,-3.23,2.00,12.00
10.00,27.14,59.37,-2.11,4.00,13.00
11.00,2.60,12.60,48.94,1.00,6.00
12.00,52.81,-54.83,23.02,2.00,9.00
13.00,13.06,13.11,-7.11,2.00,16.00
14.00,-49.28,-65.06,-5.10,3.00,3.00
15.00,45.70,9.54,31.31,4.00,8.00
16.00,11.25,-19.86,8.52,4.00,16.00
17.00,-10.02,-66.50,22.09,2.00,9.00
18.00,-33.71,19.96,2.02,1.00,6.00
19.00,-9.30,-37.78,68.48,1.00,7.00
20.00,6.79,43.31,5.33,2.00,10.00
21.00,-42.29,42.02,13.08,4.00,14.00
22.00,-59.11,-26.68,15.62,1.00,5.00
23.00,44.33,41.41,14.82,4.00,13.00
24.00,43.05,-73.44,-11.09,3.00,1.00
25.00,-30.67,-4.67,-32.67,2.00,11.00
26.00,29.39,-32.98,62.78,1.00,7.00
27.00,0.65,-16.29,34.47,2.00,9.00
28.00,29.14,-54.33,59.16,3.00,4.00
29.00,42.95,10.28,-37.05,2.00,12.00
30.00,-57.40,-43.13,26.02,1.00,6.00
31.00,-45.66,8.55,31.40,4.00,14.00
32.00,40.40,-4.66,10.37,1.00,5.00
33.00,-13.79,-31.72,0.41,2.00,11.00
34.00,42.04,24.37,37.39,4.00,13.00
35.00,62.02,-41.89,-8.48,4.00,13.00
36.00,1.72,33.66,23.94,4.00,15.00
37.00,-28.78,50.44,-12.98,4.00,14.00
38.00,13.27,-94.02,1.76,3.00,1.00
39.00,-8.71,-17.67,9.86,4.00,16.00
40.00,1.66,-38.17,31.70,2.00,9.00
41.00,-14.57,13.22,-3.47,4.00,16.00
42.00,18.36,-33.89,-2.19,2.00,2.00
43.00,61.26,-20.23,-16.23,2.00,10.00
44.00,-28.71,-6.18,57.29,1.00,8.00
45.00,44.42,30.37,-10.37,4.00,15.00
46.00,-6.10,-86.69,24.56,3.00,2.00
47.00,0.51,17.03,32.16,1.00,6.00
48.00,-52.29,-50.05,41.71,4.00,14.00
49.00,-28.44,32.00,-15.56,2.00,15.00
50.00,1.20,-52.23,14.72,2.00,9.00
51.00,36.07,18.09,3.12,1.00,6.00
52.00,42.73,-19.48,53.20,1.00,7.00
53.00,-39.36,21.01,41.71,4.00,14.00
54.00,33.29,-30.79,-16.75,2.00,11.00
55.00,-43.92,-52.08,-19.28,3.00,3.00
56.00,28.25,-0.34,56.21,1.00,8.00
57.00,12.34,-44.19,67.43,1.00,7.00
58.00,61.12,-16.75,11.97,1.00,5.00
59.00,-28.08,1.33,3.11,1.00,6.00
60.00,59.31,-43.62,10.28,1.00,5.00
61.00,-11.79,-70.02,5.81,3.00,2.00
62.00,29.21,25.03,-15.45,2.00,15.00
63.00,-57.15,-14.60,-16.00,2.00,12.00
64.00,-43.32,1.48,47.52,4.00,14.00
65.00,-44.77,33.40,-8.63,4.00,15.00
66.00,31.04,55.25,14.24,4.00,15.00
67.00,-8.43,-32.98,45.06,1.00,8.00
68.00,-41.50,13.56,-28.19,2.00,12.00
69.00,0.16,0.33,41.51,1.00,8.00
70.00,13.42,-77.19,38.55,3.00,4.00
71.00,-43.02,-66.47,39.74,2.00,9.00
72.00,46.80,7.96,-10.09,1.00,6.00
73.00,-13.09,6.00,13.55,4.00,16.00
74.00,46.34,-72.94,15.42,3.00,3.00
75.00,37.05,-12.25,-26.46,2.00,11.00
76.00,-58.51,-7.82,25.49,1.00,7.00
77.00,7.83,-73.81,5.75,3.00,2.00
78.00,-17.50,-15.59,69.64,1.00,7.00
79.00,0.15,52.25,25.87,2.00,10.00
80.00,-19.22,-6.49,-16.29,2.00,11.00
81.00,40.19,-42.52,48.35,1.00,8.00
82.00,13.09,-0.61,16.61,4.00,16.00
83.00,-26.76,12.19,55.61,4.00,14.00
84.00,-29.73,-35.68,61.86,1.00,7.00
85.00,-34.08,-80.96,25.65,3.00,3.00
86.00,59.33,-0.86,25.57,1.00,7.00
87.00,-58.57,-48.33,-8.62,4.00,14.00
88.00,47.44,-52.32,-17.09,3.00,3.00
